EDAD	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050																																																												
46	70372	73266	75670	76976	81143	88534	92204	95455	98140	100773	103326	105667	107605	109497	111651	114301	117031	119433	121280	122637	123604	124101	123944	123002	121772	121777	123459	126805	130695	133540	134510	134404	133904	134262	135833	138713	141678	143271	143881	144740	147085	151570	158112	166420	169273	172109	168650	164626	161941	158439	154417	149985	145631	141737	137135	133738	130238	126429	123960																																																												
47	67627	70186	73082	75488	76801	80968	88350	92021	95273	97961	100598	103158	105511	107455	109367	111532	114201	116923	119322	121219	122601	123495	124027	123898	123034	122081	122462	124287	127620	130926	133470	134376	134260	133760	134120	135692	138570	141535	143129	143741	144601	146946	151428	157965	166265	169118	171953	168501	164484	161804	158308	154294	149869	145521	141633	137038	133646	130151	126348																																																												
48	65147	67431	69992	72889	75299	76618	80785	88158	91827	95080	97771	100415	102982	105340	107304	109227	111409	114071	116790	119234	121154	122464	123390	123946	123888	123275	122707	123179	124994	127799	130830	133315	134210	134094	133598	133959	135532	138410	141373	142968	143582	144444	146789	151267	157799	166091	168943	171777	168332	164323	161649	158160	154153	149735	145394	141513	136925	133539	130050																																																												
49	63210	64940	67226	69789	72686	75101	76425	80590	87951	91620	94874	97571	100220	102791	105166	107140	109080	111256	113915	116676	119140	120990	122329	123276	123897	124067	123829	123324	123790	125125	127679	130655	133128	134022	133909	133416	133781	135354	138231	141193	142788	143405	144269	146613	151088	157613	165897	168748	171581	168144	164143	161476	157994	153994	149585	145252	141377	136797	133416																																																												
50	61443	62989	64722	67010	69574	72473	74891	76221	80382	87730	91399	94657	97357	100008	102594	104978	106967	108902	111077	113774	116552	118950	120825	122184	123189	124018	124577	124349	123842	123871	124980	127484	130448	132917	133813	133704	133216	133583	135158	138033	140994	142590	143209	144075	146418	150890	157408	165682	168532	171365	167936	163944	161283	157809	153817	149416	145091	141224	136652																																																												
51	59870	61208	62756	64493	66784	69350	72249	74669	76002	80159	87495	91166	94423	97125	99790	102383	104779	106763	108697	110909	113621	116339	118758	120651	122065	123264	124483	125025	124794	123881	123701	124766	127260	130219	132686	133584	133480	132997	133367	134942	137815	140774	142372	142993	143861	146204	150671	157182	165446	168295	171127	167707	163724	161070	157604	153622	149230	144914	141054																																																												
52	58262	59621	60963	62515	64255	66548	69115	72014	74433	75771	79924	87248	90915	94172	96884	99556	102160	104551	106533	108501	110728	113386	116123	118557	120499	122093	123689	124854	125393	124787	123682	123465	124523	127013	129969	132436	133337	133237	132759	133132	134708	137580	140537	142135	142759	143629	145972	150435	156938	165191	168039	170869	167458	163485	160839	157382	153409	149026	144720																																																												
53	56637	57999	59363	60708	62264	64007	66300	68866	71762	74181	75523	79673	86978	90643	93908	96626	99307	101905	104295	106308	108291	110470	113147	115897	118376	120484	122473	123990	125151	125341	124559	123423	123202	124261	126749	129703	132169	133073	132977	132504	132881	134458	137328	140283	141882	142508	143380	145722	150180	156675	164917	167763	170592	167191	163228	160590	157142	153178	148806																																																												
54	54922	56360	57726	59093	60441	61999	63744	66036	68598	71491	73907	75255	79395	86684	90354	93622	96349	99024	101621	104038	106065	108008	110206	112895	115685	118313	120809	122694	124208	125051	125082	124271	123136	122919	123979	126466	129418	131883	132789	132698	132231	132611	134189	137057	140010	141610	142239	143113	145454	149907	156393	164622	167467	170295	166904	162952	160323	156884	152931																																																												
55	53109	54630	56070	57437	58806	60156	61717	63461	65749	68307	71194	73611	74959	79093	86370	90040	93313	96035	98709	101328	103758	105751	107712	109924	112649	115575	118591	120955	122835	124059	124757	124761	123951	122823	122612	123674	126159	129109	131572	132482	132396	131935	132319	133897	136763	139714	141314	141946	142823	145162	149610	156086	164302	167145	169971	166591	162651	160030	156602																																																												
56	51576	52800	54320	55761	57128	58499	59850	61410	63152	65435	67988	70870	73285	74639	78772	86030	89702	92968	95688	98382	101011	103410	105421	107395	109641	112489	115803	118657	121016	122634	123726	124398	124402	123600	122480	122276	123340	125824	128771	131233	132145	132065	131610	131998	133577	136440	139389	140989	141625	142503	144842	149283	155749	163951	166792	169616	166247	162320	159709																																																												
57	50527	51247	52472	53992	55431	56799	58169	59519	61077	62817	65094	67642	70522	72937	74301	78426	85668	89329	92590	95327	98028	100629	103043	105065	107071	109427	112672	115790	118636	120760	122259	123329	124000	124009	123215	122106	121908	122975	125458	128402	130862	131778	131703	131255	131647	133227	136087	139032	140634	141272	142154	144491	148925	155379	163565	166404	169226	165870	161957																																																												
58	50184	50177	50900	52124	53643	55080	56445	57815	59162	60718	62453	64725	67275	70150	72568	73940	78059	85271	88925	92197	94942	97617	100229	102651	104701	106807	109551	112586	115696	118331	120346	121824	122892	123567	123584	122800	121701	121510	122580	125061	128001	130460	131378	131310	130869	131265	132846	135703	138645	140247	140889	141772	144108	148535	154976	163146	165982	168802	165459																																																												
59	50204	49805	49808	50533	51756	53271	54705	56068	57434	58779	60331	62062	64337	66884	69759	72176	73557	77662	84846	88507	91781	94501	97185	99804	102251	104391	106873	109404	112431	115349	117882	119877	121354	122423	123104	123128	122355	121266	121084	122156	124635	127571	130028	130950	130888	130454	130855	132437	135290	138228	139831	140476	141363	143696	148116	154543	162694	165528	168345																																																												
60	50268	49789	49404	49414	50141	51361	52872	54302	55662	57024	58366	59913	61651	63923	66470	69341	71760	73141	77233	84401	88061	91310	94038	96727	99368	101894	104400	106663	109188	112040	114866	117379	119370	120847	121920	122606	122638	121876	120799	120625	121700	124176	127109	129563	130488	130433	130007	130413	131995	134845	137779	139382	140031	140920	143251	147662	154075	162206	165037																																																												
61	50257	49811	49347	48974	48991	49720	50938	52443	53869	55223	56583	57921	59476	61213	63486	66029	68898	71311	72694	76785	83927	87559	90811	93543	96251	98961	101849	104121	106380	108750	111518	114323	116829	118819	120299	121376	122067	122108	121358	120294	120128	121206	123679	126607	129059	129987	129940	129522	129933	131515	134361	137290	138894	139546	140438	142768	147169	153566	161676																																																												
62	49784	49753	49323	48873	48513	48540	49269	50484	51984	53405	54756	56113	57460	59014	60754	63024	65564	68422	70830	72227	76308	83398	87027	90277	93022	95790	98853	101495	103763	105885	108183	110932	113728	116231	118220	119702	120783	121481	121531	120793	119743	119585	120667	123137	126059	128508	129441	129400	128992	129408	130990	133831	136756	138360	139016	139911	142238	146628	153007																																																												
63	48647	49235	49219	48804	48369	48024	48060	48791	50003	51498	52916	54264	55628	56976	58533	60273	62539	65069	67917	70328	71731	75779	82837	86460	89716	92514	95616	98440	101074	103215	105271	107553	110293	113083	115583	117570	119055	120140	120844	120903	120179	119143	118995	120080	122546	125463	127909	128844	128812	128413	128835	130418	133253	136172	137776	138437	139334	141658	146037																																																												
64	46571	48058	48653	48650	48254	47836	47506	47553	48288	49498	50989	52403	53758	55122	56473	58028	59768	62023	64543	67388	69794	71184	75218	82239	85861	89160	92274	95142	97957	100470	102550	104591	106868	109601	112385	114881	116867	118354	119444	120155	120224	119513	118493	118355	119444	121905	124816	127257	128197	128174	127785	128212	129795	132625	135537	137141	137806	138707	141027																																																												
65	43897	45947	47430	48033	48045	47668	47269	46956	47015	47754	48964	50450	51870	53224	54589	55939	57493	59226	61472	63987	66822	69208	70603	74618	81606	85260	88852	91742	94598	97299	99751	101816	103854	106126	108852	111630	114120	116106	117595	118689	119407	119487	118791	117788	117661	118752	121209	124112	126549	127493	127479	127100	127534	129117	131940	134845	136449	137118	138022																																																												
66	41202	43240	45276	46755	47366	47394	47037	46659	46365	46437	47181	48391	49881	51297	52651	54014	55365	56913	58640	60882	63387	66196	68576	69974	73975	80956	84887	88245	91122	93878	96524	98960	101019	103054	105321	108041	110810	113296	115279	116770	117870	118594	118685	118006	117020	116904	117999	120450	123345	125777	126725	126720	126354	126794	128376	131191	134089	135693	136366																																																												
67	38088	40511	42532	44554	46027	46647	46692	46358	46001	45727	45814	46562	47778	49264	50678	52030	53393	54740	56283	58010	60243	62724	65522	67894	69300	73311	80514	84212	87552	90340	93047	95674	98101	100157	102187	104450	107161	109922	112401	114383	115875	116979	117711	117814	117152	116184	116081	117179	119624	122510	124936	125888	125893	125539	125986	127568	130374	133263	134866																																																												
68	35117	37372	39768	41771	43777	45243	45872	45936	45625	45291	45036	45138	45899	47113	48596	50007	51358	52717	54062	55605	57329	59541	62012	64794	67162	68599	72844	79778	83452	86709	89451	92140	94755	97174	99225	101252	103509	106210	108961	111433	113412	114907	116015	116755	116870	116226	115278	115188	116289	118727	121602	124022	124978	124994	124653	125107	126688	129485	132364																																																												
69	32251	34382	36610	38977	40960	42947	44407	45044	45126	44839	44529	44297	44421	45187	46401	47879	49287	50634	51990	53337	54878	56586	58789	61248	64019	66400	68074	72094	78963	82557	85765	88487	91162	93766	96176	98222	100244	102495	105185	107925	110389	112365	113861	114974	115721	115850	115225	114299	114221	115326	117756	120620	123032	123992	124019	123692	124153	125732	128519																																																												
70	29770	31505	33607	35805	38141	40104	42072	43524	44169	44271	44009	43725	43522	43661	44433	45645	47118	48520	49863	51220	52566	54094	55798	57989	60438	63212	65794	67288	71272	78024	81565	84747	87454	90114	92705	95105	97144	99162	101404	104082	106810	109265	111237	112734	113852	114607	114749	114144	113240	113177	114284	116705	119557	121960	122924	122964	122651	123120	124697																																																												
